episodenumber,year,colorcode,notes
1001,1969,0099FF,
1002,1969,#977E46,
1003,1969,NA,Apron
1004,1969,#b4a588,
1005,1969,NA,Apron
1006,1969,696c5b,
1007,1969,NA,Apron
1008,1969,NA,Apron
1009,1969,#977E46,
1010,1969,FF0000,
1011,1969,696c5b,
1012,1969,#977E46,
1013,1969,#b4a588,
1014,1969,696c5b,
1015,1969,696c5b,
1016,1969,696c5b,
1017,1969,CCD2F2,
1018,1969,0099FF,
1019,1969,0099FF,
1020,1969,NA,Apron
1021,1969,#977E46,
1022,1969,EBD896,
1023,1969,0099FF,
1024,1969,NA,Apron
1025,1969,0099FF,
1026,1969,0099FF,
1027,1969,696c5b,
1028,1969,CCD2F2,
1029,1969,NA,Raincoat
1030,1969,#977E46,
1031,1969,696c5b,
1032,1969,696c5b,
1033,1969,CCD2F2,
1034,1969,NA,Band jacket
1035,1969,#977E46,
1036,1969,#977E46,
1037,1969,#977E46,
1038,1969,0099FF,
1039,1969,696c5b,
1040,1969,CCD2F2,
1041,1969,696c5b,
1042,1969,0099FF,
1043,1969,NA,Apron
1044,1969,NA,Overalls
1045,1969,CCD2F2,
1046,1969,#977E46,
1047,1969,#977E46,
1048,1969,0099FF,
1049,1969,NA,Apron
1050,1969,NA,Apron
1051,1969,696c5b,
1052,1969,CCD2F2,
1053,1969,0099FF,
1054,1969,0099FF,
1055,1969,0099FF,
1056,1969,#977E46,
1057,1969,#977E46,
1058,1969,0099FF,
1059,1969,CCD2F2,
1060,1969,#977E46,
1061,1969,CCD2F2,
1062,1969,0099FF,
1063,1969,CCD2F2,
1064,1969,CCD2F2,
1065,1969,NA,Towel
1066,1970,696c5b,
1067,1970,fcffa4,
1068,1970,#977E46,
1069,1970,696c5b,
1070,1970,fcffa4,
1071,1970,fcffa4,
1072,1970,0099FF,
1073,1970,NA,Apron
1074,1970,NA,Apron
1075,1970,CCD2F2,
1076,1970,NA,Suit jacket
1077,1970,fcffa4,
1078,1970,fcffa4,
1079,1970,0099FF,
1080,1970,fcffa4,
1081,1970,NA,Suit jacket
1082,1970,0099FF,
1083,1970,0099FF,
1084,1970,FF0000,
1085,1970,#000000,
1086,1970,FF0000,
1087,1970,0099FF,
1088,1970,fcffa4,
1089,1970,FF0000,
1090,1970,fcffa4,
1091,1970,fcffa4,
1092,1970,0099FF,
1093,1970,EB767F,
1094,1970,27a14a,
1095,1970,fcffa4,
1096,1970,CCD2F2,
1097,1970,27a14a,
1098,1970,CCD2F2,
